"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000135744",354.546150555457,-25.1211049289031,3.46533138399993,-7.2492648307437,4.19039842518212e-13,2.14841727259087e-09
"ENSG00000136574",209.311734803299,-9.96966611111264,2.68126114701858,-3.71827493274886,0.000200587894497487,0.0428505889620257
"ENSG00000137871",114.211004424491,1.20860178166878,0.296074941995928,4.08208061621574,4.4634307720453e-05,0.0219224054629246
"ENSG00000137962",139.899416349974,-3.96296906560259,1.02957519243781,-3.84913029636927,0.00011853794507367,0.0365133672356915
"ENSG00000139651",241.150827076349,-1.44216048584882,0.348528761756649,-4.1378521490739,3.50572146040931e-05,0.0199709265861317
"ENSG00000141448",360.397510902072,-8.51551973723353,2.1962453664993,-3.87730800352551,0.000105618616080282,0.0361083321989273
"ENSG00000143363",427.529736419857,1.13251417058667,0.270865919256735,4.18108772670376,2.9011789640675e-05,0.0174992288809107
"ENSG00000143776",210.438011117809,1.26247396515068,0.284902018772954,4.43125664952474,9.36855014751516e-06,0.0106739014680689
"ENSG00000144824",255.214450513987,-2.82499143670973,0.762111479195938,-3.70679554609285,0.000209898257881419,0.0439244231901238
"ENSG00000148143",933.640962657813,1.28018489862114,0.349545486409525,3.66242720445626,0.000249836761169833,0.0483363424346314
"ENSG00000157570",321.161381675926,-3.26925979998396,0.801148055470357,-4.08071863578895,4.48966759041757e-05,0.0219224054629246
"ENSG00000158796",220.254876146916,1.13598450876361,0.269674181371746,4.21243332596849,2.52634298942493e-05,0.016190700633477
"ENSG00000162441",102.011050700034,-1.34190598565284,0.352061061163212,-3.81157172343677,0.000138085975625512,0.0393314887240001
"ENSG00000164742",87.6557559446907,2.51445742512919,0.644256056598071,3.90288519506751,9.50527952612122e-05,0.0348096915217311
"ENSG00000164916",458.292675225921,-2.58074200134378,0.685479797314061,-3.76486952854919,0.000166636068599661,0.0406808889310723
"ENSG00000165617",242.025021852952,-4.54647636919195,1.1827619403688,-3.84394882352597,0.000121070263898333,0.0365133672356915
"ENSG00000166455",43.6756542900565,-3.43402978550519,0.795474873298179,-4.31695569624606,1.58195894960474e-05,0.0113940939032279
"ENSG00000169271",117.030318645546,-20.8656611291861,4.8209885291992,-4.32808769463139,1.50409584501936e-05,0.0113940939032279
"ENSG00000169903",132.43264842211,-22.9278919911245,4.32691415781178,-5.29890151616034,1.16501447956862e-07,0.000398201949116556
"ENSG00000172915",251.452115731672,1.66117133921293,0.384183666882349,4.32389891192756,1.53295560395277e-05,0.0113940939032279
"ENSG00000177239",219.631767696149,-1.45046793375686,0.382764168726326,-3.78945589025064,0.000150977616065145,0.0406808889310723
"ENSG00000188483",178.876655153162,-5.18776862356546,1.40943930112191,-3.68073220282421,0.000232565160731728,0.0476944631628628
"ENSG00000197622",612.751337085553,1.0748069223015,0.286114415680692,3.75656333059777,0.000172262692802401,0.0406808889310723
"ENSG00000215012",79.0860939404362,-1.30365480279364,0.347340972999594,-3.75324221480535,0.000174562035592665,0.0406808889310723
"ENSG00000269834",94.750553032556,-1.9493350298515,0.443695423764839,-4.39340801244021,1.1158741719803e-05,0.0113940939032279
"ENSG00000275023",192.407308013868,-3.18758462452116,0.806673362511234,-3.951518387316,7.76569042279785e-05,0.0307005151564484
